Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"labonneboite","https://github.com/StartupsPoleEmploi","https://github.com/StartupsPoleEmploi/labonneboite","La Bonne Boite - https://labonneboite.pole-emploi.fr/",false,"2017-08-24T09:49:19Z","2018-11-28T13:53:36Z",,21,2,"GNU Affero General Public License v3.0",9,"Python"
"qpvzrr","https://github.com/StartupsPoleEmploi","https://github.com/StartupsPoleEmploi/qpvzrr",,false,"2017-11-22T10:24:02Z","2018-05-15T09:19:38Z",,0,0,"MIT License",0,"JavaScript"
"clara","https://github.com/StartupsPoleEmploi","https://github.com/StartupsPoleEmploi/clara","Clarification des aides liées au retour à l'activité",false,"2018-02-22T10:22:19Z","2018-11-29T14:01:37Z","https://clara.pole-emploi.fr",1,1,"GNU Affero General Public License v3.0",25,"Ruby"
"avril","https://github.com/StartupsPoleEmploi","https://github.com/StartupsPoleEmploi/avril","Startup Avril",false,"2018-02-26T09:29:34Z","2018-11-28T17:16:48Z","https://avril.pole-emploi.fr",2,0,"GNU General Public License v3.0",0,"Elixir"
"labonnealternance","https://github.com/StartupsPoleEmploi","https://github.com/StartupsPoleEmploi/labonnealternance","La Bonne Alternance : Ciblez les entreprises qui recrutent en Alternance.",false,"2018-03-19T09:55:12Z","2018-11-26T16:49:57Z",,0,0,"GNU Affero General Public License v3.0",2,"JavaScript"
"memo","https://github.com/StartupsPoleEmploi","https://github.com/StartupsPoleEmploi/memo","Application dashboard in french",false,"2018-04-25T10:03:47Z","2018-10-18T12:48:36Z","https://memo.pole-emploi.fr",2,2,"GNU Affero General Public License v3.0",0,"JavaScript"
"zen","https://github.com/StartupsPoleEmploi","https://github.com/StartupsPoleEmploi/zen",,false,"2018-05-03T12:17:39Z","2018-09-25T09:56:43Z",,1,0,"GNU Affero General Public License v3.0",2,"JavaScript"
"perspectives","https://github.com/StartupsPoleEmploi","https://github.com/StartupsPoleEmploi/perspectives","Méthode de recrutement par simulation",false,"2018-05-22T12:44:43Z","2018-11-26T14:33:26Z",,0,0,"GNU Affero General Public License v3.0",0,"Scala"
"mjl-avril","https://github.com/StartupsPoleEmploi","https://github.com/StartupsPoleEmploi/mjl-avril",,false,"2018-06-27T08:39:11Z","2018-06-27T08:43:59Z",,0,0,,0,"JavaScript"
"elk-cluster","https://github.com/StartupsPoleEmploi","https://github.com/StartupsPoleEmploi/elk-cluster","Cluster Elasticsearch-Logstash-Kibana pour les startups Pôle Emploi",false,"2018-07-11T14:03:08Z","2018-07-11T16:55:08Z",,0,0,,0,"Makefile"
"Avril-Frontend","https://github.com/StartupsPoleEmploi","https://github.com/StartupsPoleEmploi/Avril-Frontend",,false,"2018-07-12T10:05:40Z","2018-07-20T16:26:52Z",,0,0,"MIT License",1,"JavaScript"
"Templates-Mailjet","https://github.com/StartupsPoleEmploi","https://github.com/StartupsPoleEmploi/Templates-Mailjet","Template de mail MJML pour Mailjet",false,"2018-07-16T14:22:14Z","2018-09-19T14:22:05Z",,0,0,,0,"HTML"
"gerboise","https://github.com/StartupsPoleEmploi","https://github.com/StartupsPoleEmploi/gerboise","Data collection and visualisation in Kibana for startups",false,"2018-08-08T11:10:55Z","2018-09-05T07:28:10Z",,0,1,,0,"Python"
"anotea","https://github.com/StartupsPoleEmploi","https://github.com/StartupsPoleEmploi/anotea",,false,"2018-10-18T09:58:15Z","2018-11-27T09:54:13Z",,2,0,"GNU Affero General Public License v3.0",6,"JavaScript"
"jepostule","https://github.com/StartupsPoleEmploi","https://github.com/StartupsPoleEmploi/jepostule","Un outil de candidature simplifiée intégrable à d'autres applications",false,"2018-10-19T15:17:00Z","2018-11-16T08:36:10Z","",0,0,"GNU Affero General Public License v3.0",2,"CSS"
